,Global X,Global Y,Nestin,CK7,Megalin,N/A,CD14,CD20,N/A,Calbindin,Aqp2,N/A,aSMA,VCAM-1,N/A,Beta catenin,CD31,Vimentin,CD163,WT1,Seq 22,N/A,MCP1,LC3B,N/A,CD68,MPO,N/A,CD3,IL9,N/A,Seq 17,CD56,TNF-a
115,6774,4009,1,1,1,1,1,1,1,7794.5,17559,1,1,1,1,1,1,1,124,99,38,1,1,493,1,817.5,2398,1,655,105,1,1,304,1
116,6997,8478,1,5550,170,1,1,74,1,651,1918,1,1,506,1,1,1,1,16,865,359,1,1,424.5,1,116,321,612,1062,1,1,17.5,181,1
117,6688,7816,1,1,1,1,1,1,1,12200,7483,1,1,1,1,1,1,1,1,1,1,1,1,199,1,1444,1086,1,1,1,1,1,779,1
118,6732,8450,1,1,1,1,1,1,1,3734,12959,1,1,1,1,285,1282.5,1,1,12,1,337,13,342,1,586,1141,612,490,1,1,1,473.5,1
119,8085,3861,1,11967,1,44572,1,1,1,17817.5,5031,1,1,1,333,1,1,401.5,531,772,1,574,1,398,1,1253.5,522,111,255,260.5,98,1,1415,1
120,7238,4490,229,9024,1,1,1,1,1,1,3812,1,1,1,1253,888,1,1,243,498,1,1,1,1,1,1,427,1,562,1,1,116,1,1
121,6653,8817,833.5,1,1,1,1,1,1,1,2873,1,400,704,1,1,419,1,175,41,1,337,1,163,1,1,972,61,417.5,329,1,1,774,11
122,7178,7484,1,1,1,1882,1,1,591,1,1737,1,1,1,1,611,1,10.5,1,531,1,251,1,1,1,280,1132,132,680,1,1,234,202,1
123,7426,4198,1,14226,1,1,1,1,1,4315,1,1,1,1,1253,54,1,1,1,156,1,1,1,38,1,761,441,1,257,205,1,1,215,1
124,7006,1896,1,26961,1,1,1,1,49,2754,22197,1,1,1,1,1,1,1,251.5,965,1,1,1,310,3,221,1479,1,448,1,105,15,252,1
125,7182,8866,1,1,1,1,1,1,1,3892.5,434,1,1,1,1,1,1,1,1,373,1,1,1,66.5,1,143,442,45,279,1,1,1,330,1
126,6513,3102,1,1,1,1,1,1,2,1065,1,1,1,1,1,1,1,2233,1,207,4,1,29,51.5,1,307,307,1,222,1,1,32,362,1
127,7315,8816,454,1,1,1,1,1,1,3366,7113,1,1,1047,1,1,1,1,322,91.5,1,1,1,1,1,1200,876,45,259,204,1,1,291,1
128,2042,2575,1,13959,1,110,1,1,1,6756.5,1,1,1,1,1,1,841.5,33890,1,302,1,21,1,1,5,1106.5,761,26,560,1587,1,85,610.5,348
129,517,3638,1,1,1,1,1,1,1,1,3490,1,1,1,1283,1,1,13324,1,2313,1,1,1,874,1,268,1669,1,722,1,1,1,2289,1
130,7413,7036,1,12901,1,657,1,1,1,2044,40706,1,1,1,1,1,1,1,146,331,1,1,1,24,1,250,858,55,866,34,1,1,428,1
131,6698,4033,1,1,1,1,1,1,1,7005,11468,1,1,1229.5,1,251,1,1,1,290,1,1,1,164,1,764.5,1759,1,65,227,1,1,230,1
132,6769,1340,1,2810.5,1,1,1,1,1,6625.705497,40515.5,1,1,1,765,1,1,1,1,232.5,1,1,1,197.5,1,491.5,1077.5,421,785,51,1,1,399,1
133,7265,3065,1,1,1,1,1,1,1,8008,19389,1,1,1,1,1,1,1,1,1,1,225,1,523.5,43,566.5,1980.5,1,86,1,1,1,953,1
134,6314,8779,1,7091,1,1,1,1,1,2568,4428,1,1,1,1,1,1,12677,1,360,95.5,1,1,49,1,593,1588,1,433,1,1,1,1,113
135,2282,42,3475,1,1,1,1,1,1,4675,1,1,1,1,1,1,1,18525.5,1,5191,1,1,1,171,57,38.5,1,1,1011,1,1,1,1,1
136,6926,7602,1,1,281,1,1,45.5,1,8089,10582,1,1,1,1,1,1,74,1,1,221,1,1,269.5,1,628,1832,1,42,147,1,1,462,146
137,1213,2139,1,1,1,1,1,1,3378,750,808,349,1,1,1,1,1,8330.5,1,621,1,345,1,1,1,243,860.5,1,101.5,1,271,1,641.5,1
138,8259,3585,1,1,1,44572,1,1,1,13967,6238,1,1,1,1,2800,1,1,1,578.5,1,574,1,1,1,585.5,1915.5,111,1332,1,1,1,479,1
139,786,3315,1,1,1,1,1,1,1,50994,14736,1,1,1,1,1,1,1,1,1748,1,1,1,674,1,955,2709,1,512,1,1,1,2440,1
140,1361,1724,5808,1,1,180,1,1,1,1,1,1,1,1,1,1,297,45293,57,1,1,1,1,72,1,218,3534,325,205,1,1,1,845.5,1
141,294,5602,1,1,1,1377,1,1,1,30678,19323,1,1,1,1,1,377,1,1,879.5,248,1,1,323,1,700.5,971,631,299,16,1,1,634,1
142,8215,3419,1,1,1,70,1,1,1,6640,45385,1,1,423,1,1,437,1,1,139,1,2,1,357,1,298,4730.5,592,839,124,1,1,1373.5,1
143,7714,7745,1,1,211,1,1,1,3586,1199,1253,1,1,1,1,1,1,25427,86.5,448,1,89,1,166.5,629,257,1057,208,355.5,1,226,1,1283,1
144,1009,2737,1,1,896.5,260,1,1,1,4185,10304,1,1,1,1,174,1,3295,39,115.5,17.5,1,1,1,91,901.5,3183,1,113,1,126,1,402,1
145,5719,8632,1,1,1,1,1,1,1,1060,1796,1,1,1,1,1,1,72.5,134.5,52,1,28,1,1,1,121,1172,1,634,1,1,1,32,1
146,8242,4091,1,1,1,44572,1,1,1,1,48158,8491,1,1,333,1,1,1,348,186,1,574,1,1,1,16,758,140,1599,1,98,1,230,1
147,6653,7138,1,3060,1,1,1,1,1,3674,1,1,1,122,1,458,1,1,73,129,1,1,1,1,1,778,176.5,1,2,419.5,1,92.5,1,1
148,8094,4746,1,1,1,1,1,1,1,15384.5,31849,114,1,1,1,805,1,1,559,559,1,47,180,265,98,802,1519,1,79,82,1,1,419,1
149,6554,8984,1,1,707,1,1,1,1,1,1,1,1,1,1,1,1,22332,4,391,1,1,1,1,1,1,111,564,1,102,1,1,672,1
150,6904,8665,1,1,1,1,1,1,1,3425,3896,1,1,83,1,1,1,1,349,318.5,1,1,452,92,1,609,1097,612,599,82,1,1,1,1
151,1253,994,1,1,1,1,9490,1468,1,9139,42509,1493,1,1,1,6227,1468,1217,268,1,1,391,1,893,135,572.5,1756,1,756,1,101,1,693.5,1
152,327,6367,1,1,1,1,1,1,1,278,1,1,1,1,1,1,1,18127,1,539,1,1,1,5,1,293,370,10,595,1,1,1,485,1
153,2244,1454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52942,6,96,1,1,1,406,1,1,185.5,592,407,64,1,1,61,1
154,8337,2877,1,1,1,70,1,1,3840,6499,49198,1,1,1,1,1,1,1,1,473.5,1,2,1,90,695,389.5,2307,103,362,1,1,1,906,1
155,7865,690,1301,1,351,1,1,1,1,9.5,1,1,156,1,1,40.5,801,12763,412,123,229,1,5,170,1,110,163,1,253,1,1,90.5,781,263
156,6279,8152,1,594,1000,1,334.5,1,1,1,2862,1,106,1,1,221,1,1,1,548,544,1,101,320,1,1,347.5,1,522,26.5,1,149.5,1,1
157,7064,2497,1,1,2100,1,1,1,1,4517.5,725,1,701,2341,1,1,1,1,171,729,435,1,1,1,127,394,1551,367,576,519,1,1,524,1
158,6693,8124,1,1,32,1,1,1,1,288,886,1,1,1,1,1,1,1,204.5,133,16,1,1,249,1,866,265,1,607,1,1,1,537,1
159,8268,3527,134.5,1,1,70,1,1,1,5502,6648,1,1,2101,1,2432,1,1,122.5,876.5,1,2,1,166,1,267,2718,592,234.5,182,1,1,1,1
160,8190,4120,1,364.5,1,1,1,1,1,10741,49440,8491,1,1,333,1,1,1424,168,688,1,1,1,239.5,1,910,902,140,1600,180,98,1,400,1
161,6515,4233,1,1,1,1,1,1,1,209,1,1,1047,1,1,1,1,50889,2,1,1,2,1,1,1,532,1809,52,47.5,1,1,1,165,1
162,6135,7202,1696.5,9585.5,1,7386,1,1,1,12297,1,1,1,1,1,1,1,1,504,352.5,110.5,1,1,11,1,1036,643,1,474.5,1,1,1,114,451
163,7530,1479,1,353,1,1,1,2172,32,4041,6029.5,1,234,1,1,1,1,1,166,355,1,1,1,651,1,504,1140.5,1,558,120.5,1,1,1,148
164,7252,3095,1,1,1,1,1,1,1,4491.5,946,1,1,551,1,1,1,1,1,569,66.5,225,1,12,43,365,1621,1,224,204,1,1,200.5,1
165,6760,3980,1,1,1,1,1,1,1,11981,3086,1,1,715.5,1,188.5,1,1,1,1,38.5,1,1,253,1,832,1187,1,562.5,208.5,1,1,304,1
166,5703,8601,1,140,1,1,1,1,1,1,1,1,1,1,1,1,271,5962.5,33,457,7,28,1,1,1,321,515,1,327,1,1,1,204.5,45
167,6666,7559,1,1,70,1,1,1,1,5181,159,1,1,1,1,95.5,1,1,1,1,346,1,1,51,1,496.5,268,84,852,1,1,1,1280,1
168,1257,4928,1,1,1,1,1,1,1,1,1,32,1,1,1,1,1,1,142,679,1,35,1,211,1,1,490,1,158,1,1,1,1267,271
