,Global X,Global Y,CD45RO,N/A,CD31,N/A,N/A,N/A,N/A,pan-CK,PD-1,Ki-67,cyclin D,b-actin,CD3,CD4,N/A,CD16,N/A,N/A,PD-L1,ATPase,Granzyme B,P53,NF-kB,PTEN,p-ERK1/2,N/A,Caspase 3
77,11017,10850,513.36,459.36,516.38,436.86,427.84,444.46,423.92,483.99,387.92,494.06,499.14,548.57,497.6,477.04,524.26,548.16,450.74,535.1,539.71,485.68,518.58,495.43,527.5,525.23,560.3,560.98,486.52
78,5827,4885,398.98,425.24,414.03,399.96,465.01,436.35,438.58,437.47,406,452.48,442,407.86,491.79,436.09,443.82,465.63,450.44,426.14,427.8,471.08,259.5,424.06,418.83,428.9,423.48,455.6,429.25
79,5450,11129,406.96,289.78,336.69,363.08,318.63,342.66,314.46,310.96,322.3,330.84,353.39,337.54,332.12,290.7,331.48,331.13,318.46,351.85,373.33,312.78,320.46,314.64,366.6,359.68,331.86,339.3,353.75
80,6724,8846,361.9,312.38,327.06,341.84,309.66,315.98,320.24,335.28,354.86,376.86,325.78,359.7,424.92,342.14,312.88,352.41,323.05,341.79,330.38,332.25,272.58,340.36,326.48,323.31,350.5,315.96,335.21
81,5611,9963,458.05,398.68,386,426.46,321.18,378.34,371.46,377.28,370.87,399,422.4,425.06,363.04,362.1,378.29,373.48,384.28,378.28,429.86,368.76,431.44,385.38,409.16,377.45,345.34,355.52,383.08
82,4459,11380,587.65,435.58,492.31,477.22,475.84,576.71,554.53,485.96,573.26,471.39,429.6,555.83,556.36,527.88,549.36,433.98,531.36,464.67,584.02,414.29,678.16,617.86,590.68,532.04,260.7,493.56,586.32
83,7851,3376,422.61,411.36,478.31,456.43,462.02,431.75,438.69,434.88,467.6,434.36,431.3,492.66,376.94,462.54,466.38,473.7,473.16,448.63,404.99,436.58,431.23,483.89,473.08,396.44,487.79,507.41,424.84
84,12834,22410,672.3,661.36,619.91,508.32,489.08,616.56,647.54,592.42,598.86,646.27,561.36,509.06,676.86,602.63,665.96,628.12,552.36,599.26,530.2,657.15,718.36,504.55,675.64,570.16,621.72,594.86,705.14
85,6516,7303,290.8,276.1,279.34,273.38,276.7,274.28,275.53,275.6,277.35,280.49,281.5,278.66,289.22,278.98,275.9,283.19,277.05,275.08,279.09,272.7,280.08,278.3,282.6,275.1,284.19,274.68,283.6
86,1133,14898,450.6,363.72,461.98,484.32,342.06,466.54,451.56,443.08,385.6,476.3,439.76,399.28,296.56,438.73,295.3,415.46,489.54,391.26,464.96,419.96,477.51,424.77,436.8,470.08,459.43,430.23,411.6
87,4776,5891,543.48,502.1,496.41,506.32,478.87,513.8,447.54,515.9,515.76,550.05,562.86,475.92,657.67,346.08,459.67,534.1,468.68,383.6,553,558.34,492.9,414.57,450.27,534.98,485.95,488.44,462.81
