	Global X	Global Y	CD45RO	N/A	CD31	N/A	N/A	N/A	N/A	pan-CK	PD-1	Ki-67	cyclin D	b-actin	CD3	CD4	N/A	CD16	N/A	N/A	PD-L1	ATPase	Granzyme B	P53	NF-kB	PTEN	p-ERK1/2	N/A	Caspase 3
62	5338.0	8425.0	560.46	498.35	572.78	663.14	570.1800000000001	495.78000000000003	594.37	547.6800000000001	572.01	492.76000000000005	544.76	471.18	522.15	482.91999999999996	474.14	435.53000000000003	471.51	456.6	528.95	473.78	453.71000000000004	467.1	552.4000000000001	607.26	444.46999999999997	478.13	462.88
63	7608.0	15140.0	437.6	446.08000000000004	433.16	378.03	330.62	447.88	434.21000000000004	397.98	468.1	461.88	374.20000000000005	488.62	340.47	399.0	429.78999999999996	411.11	491.48	443.35999999999996	430.77	462.03999999999996	490.74	460.22	441.03999999999996	491.54	461.84000000000003	410.88000000000005	455.78
64	19777.0	172.0	488.2	373.12	394.6	486.26	389.70000000000005	366.46000000000004	492.86	396.6	349.62	487.96	378.1	336.3	477.01	345.20000000000005	349.72	505.08000000000004	394.58000000000004	404.94	500.22	359.48	374.15999999999997	478.84000000000003	322.34000000000003	377.08	486.09000000000003	392.3	332.78
65	15062.0	16979.0	482.8	446.78000000000003	520.96	552.3	521.1700000000001	513.0	539.06	508.73	500.22	482.56	523.69	470.26	496.58000000000004	507.22	465.1600000000001	556.16	463.18	499.95	488.48	589.24	519.9200000000001	525.12	500.99	504.41	554.05	551.6600000000001	521.1600000000001
66	11945.0	22698.0	496.75	412.24	362.76	345.03999999999996	397.88	372.36	370.98	394.76	376.55	422.48	429.66	427.81000000000006	409.3399999999999	382.52	386.02	393.5	378.64	407.29	344.09	465.34000000000003	408.6	388.28999999999996	405.03999999999996	327.12	471.52	378.37	370.78
67	6677.0	7355.0	275.3	274.5	273.78000000000003	285.03999999999996	275.7	278.98	282.0	280.5	280.39	276.84	281.28	273.4	278.1	277.46000000000004	273.94	287.86	277.18	278.58000000000004	275.18	281.3	274.5	281.97	276.23	280.04	273.04	274.14	281.33000000000004
68	7407.0	13255.0	497.16	405.22	427.44	481.66	482.6	446.93000000000006	483.71000000000004	449.32	351.9	479.26	507.68	391.75	520.78	476.09000000000003	473.01	580.5	548.51	524.38	297.58000000000004	535.0	463.03000000000003	537.08	474.38	359.86	393.88	468.84000000000003	435.27
69	2485.0	3325.0	605.77	600.5799999999999	597.5699999999999	568.5	580.82	522.9200000000001	588.9	572.36	580.94	592.8	646.53	493.90999999999997	620.1199999999999	683.3	473.96	489.88	614.17	514.98	555.72	683.86	631.86	698.04	792.49	620.25	529.35	665.06	508.15999999999997
70	8572.0	14009.0	228.9	251.88	419.88	377.08	496.15	378.8	418.57	400.65999999999997	373.24	348.37	406.76	384.66999999999996	335.68	406.15999999999997	368.22	306.94000000000005	332.64	322.98	435.02000000000004	500.89	328.78	374.20000000000005	336.59000000000003	363.5	357.96	419.94000000000005	374.1
71	10894.0	11507.0	364.4	370.38	432.86999999999995	367.3	421.02	412.54	399.96000000000004	366.15000000000003	428.6	387.6	399.6	382.57	409.28	360.68	414.73	413.78	390.40000000000003	441.56000000000006	303.48	383.6	374.12	397.84000000000003	423.88	341.8	384.18	341.32	398.32000000000005
72	2806.0	21337.0	330.3	294.65999999999997	312.05999999999995	348.77	341.98	331.37	336.8	331.18	329.29	307.70000000000005	333.28	301.83	319.18	292.72	330.70000000000005	337.16	311.02	324.9	343.53	342.51	344.14	327.86	335.98	357.85	294.43	295.89	318.28
